date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:53:11	196/196	---M--	200	added ('OK')	text/plain	date:Tue,%2004%20Feb%202025%2014:53:08%20GMT	https://consultoriomedicolaestrella.com/robots.txt		(from )
09:53:12	221931/221931	---MC-	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202025%2014:53:08%20GMT	https://consultoriomedicolaestrella.com/	D:/consultorio/consultorio/consultoriomedicolaestrella.com/index.html	(from )
09:53:14	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2004%20Feb%202025%2014:53:12%20GMT	https://consultoriomedicolaestrella.com/xmlrpc.php	D:/consultorio/consultorio/consultoriomedicolaestrella.com/xmlrpc.php	(from https://consultoriomedicolaestrella.com/)
09:53:14	9427/9427	---M--	200	added ('OK')	image/gif	etag:%2224d3-620d89587e580%22	https://consultoriomedicolaestrella.com/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	D:/consultorio/consultorio/consultoriomedicolaestrella.com/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	(from https://consultoriomedicolaestrella.com/)
09:53:15	434/434	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2004%20Feb%202025%2014:53:15%20GMT	http://consultoriomedicolaestrella.com/wp-content/themes/Divi/core/admin/fonts/modules/base/modules.eot	D:/consultorio/consultorio/consultoriomedicolaestrella.com/wp-content/themes/Divi/core/admin/fonts/modules/base/modules.2.delayed	(from https://consultoriomedicolaestrella.com/)
09:53:15	6248/6248	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221868-620d89587e580%22	https://consultoriomedicolaestrella.com//wp-content/themes/Divi/core/admin/fonts/modules/base/modules.eot	D:/consultorio/consultorio/consultoriomedicolaestrella.com/wp-content/themes/Divi/core/admin/fonts/modules/base/modules.eot	(from https://consultoriomedicolaestrella.com/)
09:53:15	36/36	---M--	200	added ('OK')	text/css	etag:%2224-62d522a34e76a%22	https://consultoriomedicolaestrella.com/wp-content/et-cache/469/et-divi-dynamic-469.css?ver=1738680778	D:/consultorio/consultorio/consultoriomedicolaestrella.com/wp-content/et-cache/469/et-divi-dynamic-4692df7.css	(from https://consultoriomedicolaestrella.com/)
09:53:15	5985/5985	---M--	200	added ('OK')	text/css	etag:%221761-620d4aedae2c0%22	https://consultoriomedicolaestrella.com/wp-content/plugins/creame-whatsapp-me/public/css/joinchat-btn.min.css?ver=5.1.7	D:/consultorio/consultorio/consultoriomedicolaestrella.com/wp-content/plugins/creame-whatsapp-me/public/css/joinchat-btn.min6725.css	(from https://consultoriomedicolaestrella.com/)
09:53:16	108968/108968	---MCZ	200	added ('OK')	text/css	date:Mon,%2027%20May%202024%2014:35:43%20GMT	https://c0.wp.com/p/jetpack/13.7/css/jetpack.css	D:/consultorio/consultorio/c0.wp.com/p/jetpack/13.7/css/jetpack.css	(from https://consultoriomedicolaestrella.com/)
09:53:17	1508/1508	---M--	200	added ('OK')	application/rss+xml	etag:%228a2634c7341c44f50d0398e75e5d0a8a%22	https://consultoriomedicolaestrella.com/feed/	D:/consultorio/consultorio/consultoriomedicolaestrella.com/feed/index.html	(from https://consultoriomedicolaestrella.com/)
